Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/resources/0,115,0,82,87.52173913043478,29,153,0.0,28.50924383545807,0.0,82,110,120,140,150,150,150,150,150,150,150
POST,/resources/0,116,0,100,92.89655172413794,29,161,0.0,28.757150303592486,0.0,100,110,130,140,150,150,160,160,160,160,160
GET,/resources/1,107,0,100,92.34579439252336,30,161,0.0,26.525992090382726,0.0,100,110,130,140,150,150,160,160,160,160,160
POST,/resources/1,125,0,77,84.952,24,160,0.0,30.98830851680225,0.0,77,110,110,120,150,150,160,160,160,160,160
GET,/resources/10,108,0,79,87.57407407407408,17,161,0.0,26.773898558517143,0.0,85,110,110,130,150,160,160,160,160,160,160
POST,/resources/10,89,0,76,84.19101123595506,23,159,0.0,22.0636756639632,0.0,76,110,130,140,150,150,160,160,160,160,160
GET,/resources/11,85,0,71,76.62352941176471,30,159,0.0,21.072049791425528,0.0,71,100,110,120,140,150,160,160,160,160,160
POST,/resources/11,106,0,92,89.24528301886792,30,159,0.0,26.278085622248305,0.0,94,110,120,140,150,150,160,160,160,160,160
GET,/resources/12,111,0,96,89.27927927927928,13,163,0.0,27.517617962920397,0.0,96,110,130,140,150,150,160,160,160,160,160
POST,/resources/12,101,0,93,90.1980198019802,31,161,0.0,25.038553281576217,0.0,93,110,130,140,150,150,160,160,160,160,160
GET,/resources/13,104,0,98,87.41346153846153,17,159,0.0,25.78227268597947,0.0,100,110,120,130,150,150,160,160,160,160,160
POST,/resources/13,95,0,94,91.26315789473684,20,157,0.0,23.551114472769708,0.0,94,110,130,140,150,150,150,160,160,160,160
GET,/resources/14,104,0,100,95.23076923076923,31,157,0.0,25.78227268597947,0.0,100,110,140,140,150,150,160,160,160,160,160
POST,/resources/14,111,0,77,87.8018018018018,12,159,0.0,27.517617962920397,0.0,77,110,120,140,150,150,160,160,160,160,160
GET,/resources/15,103,0,100,93.97087378640776,23,159,0.0,25.53436621784505,0.0,100,110,140,140,150,160,160,160,160,160,160
POST,/resources/15,131,0,99,91.79389312977099,29,161,0.0,32.47574732560876,0.0,99,110,120,140,150,150,160,160,160,160,160
GET,/resources/16,109,0,93,89.08256880733946,12,158,0.0,27.02180502665156,0.0,93,110,120,140,150,150,160,160,160,160,160
POST,/resources/16,95,0,85,85.18947368421053,13,155,0.0,23.551114472769708,0.0,85,110,110,120,140,150,150,160,160,160,160
GET,/resources/17,107,0,95,89.25233644859813,16,159,0.0,26.525992090382726,0.0,95,110,120,140,150,160,160,160,160,160,160
POST,/resources/17,90,0,91,88.23333333333333,17,160,0.0,22.31158213209762,0.0,95,110,120,140,150,150,160,160,160,160,160
GET,/resources/18,90,0,74,88.44444444444444,29,162,0.0,22.31158213209762,0.0,77,110,130,140,150,150,160,160,160,160,160
POST,/resources/18,101,0,72,79.18811881188118,25,159,0.0,25.038553281576217,0.0,72,100,110,110,140,150,150,160,160,160,160
GET,/resources/19,111,0,100,93.1891891891892,18,162,0.0,27.517617962920397,0.0,100,110,120,140,150,150,160,160,160,160,160
POST,/resources/19,115,0,99,90.7304347826087,17,153,0.0,28.50924383545807,0.0,99,110,130,140,150,150,150,150,150,150,150
GET,/resources/2,104,0,100,90.91346153846153,29,163,0.0,25.78227268597947,0.0,100,110,140,140,150,150,160,160,160,160,160
POST,/resources/2,90,0,100,88.21111111111111,13,162,0.0,22.31158213209762,0.0,100,110,110,120,150,150,160,160,160,160,160
GET,/resources/20,101,0,82,85.81188118811882,30,163,0.0,25.038553281576217,0.0,82,110,110,120,150,160,160,160,160,160,160
POST,/resources/20,103,0,99,91.0873786407767,25,162,0.0,25.53436621784505,0.0,99,110,120,140,150,150,160,160,160,160,160
GET,/resources/21,114,0,75,84.34210526315789,19,162,0.0,28.26133736732365,0.0,75,110,120,130,150,160,160,160,160,160,160
POST,/resources/21,104,0,99,91.17307692307692,13,163,0.0,25.78227268597947,0.0,100,110,140,140,150,160,160,160,160,160,160
GET,/resources/22,111,0,98,90.28828828828829,31,165,0.0,27.517617962920397,0.0,98,110,110,120,150,160,160,160,160,160,160
POST,/resources/22,103,0,100,100.28155339805825,32,162,0.0,25.53436621784505,0.0,100,120,140,140,150,150,150,160,160,160,160
GET,/resources/23,111,0,80,84.10810810810811,24,161,0.0,27.517617962920397,0.0,80,110,110,120,140,150,150,160,160,160,160
POST,/resources/23,93,0,79,86.6774193548387,31,158,0.0,23.055301536500874,0.0,79,110,120,140,150,150,160,160,160,160,160
GET,/resources/24,103,0,100,89.63106796116504,30,161,0.0,25.53436621784505,0.0,100,110,120,140,150,150,160,160,160,160,160
POST,/resources/24,105,0,100,88.60952380952381,17,162,0.0,26.03017915411389,0.0,100,110,110,140,150,150,160,160,160,160,160
GET,/resources/25,114,0,80,88.8859649122807,29,152,0.0,28.26133736732365,0.0,81,110,130,140,150,150,150,150,150,150,150
POST,/resources/25,95,0,90,88.30526315789474,31,158,0.0,23.551114472769708,0.0,90,110,110,120,150,150,160,160,160,160,160
GET,/resources/26,109,0,99,88.28440366972477,25,158,0.0,27.02180502665156,0.0,99,110,110,140,150,150,160,160,160,160,160
POST,/resources/26,110,0,100,98.12727272727273,30,158,0.0,27.269711494785977,0.0,100,120,140,140,150,160,160,160,160,160,160
GET,/resources/27,106,0,99,89.33962264150944,29,159,0.0,26.278085622248305,0.0,100,110,130,140,150,150,160,160,160,160,160
POST,/resources/27,106,0,100,91.98113207547169,31,163,0.0,26.278085622248305,0.0,100,110,120,130,140,150,160,160,160,160,160
GET,/resources/28,125,0,86,88.288,28,163,0.0,30.98830851680225,0.0,86,110,130,140,150,150,160,160,160,160,160
POST,/resources/28,103,0,100,92.69902912621359,30,161,0.0,25.53436621784505,0.0,100,110,140,140,150,160,160,160,160,160,160
GET,/resources/29,113,0,72,82.69026548672566,23,157,0.0,28.01343089918923,0.0,72,100,110,130,150,150,150,150,160,160,160
POST,/resources/29,112,0,100,95.11607142857143,30,162,0.0,27.765524431054814,0.0,100,120,140,140,150,160,160,160,160,160,160
GET,/resources/3,108,0,99,95.4074074074074,31,161,0.0,26.773898558517143,0.0,100,140,140,150,150,160,160,160,160,160,160
POST,/resources/3,87,0,100,90.44827586206897,30,158,0.0,21.567862727694365,0.0,100,110,120,140,150,160,160,160,160,160,160
GET,/resources/30,94,0,81,85.96808510638297,30,158,0.0,23.30320800463529,0.0,82,110,110,120,150,150,160,160,160,160,160
POST,/resources/30,98,0,73,85.64285714285714,16,159,0.0,24.294833877172962,0.0,73,110,120,140,150,160,160,160,160,160,160
GET,/resources/31,96,0,110,98.52083333333333,15,162,0.0,23.799020940904125,0.0,110,120,140,150,150,150,160,160,160,160,160
POST,/resources/31,104,0,85,89.17307692307692,31,161,0.0,25.78227268597947,0.0,88,110,130,140,150,160,160,160,160,160,160
GET,/resources/32,93,0,100,91.50537634408602,30,160,0.0,23.055301536500874,0.0,100,110,120,130,150,150,160,160,160,160,160
POST,/resources/32,118,0,80,85.16101694915254,13,156,0.0,29.252963239861323,0.0,84,110,120,130,140,150,150,150,160,160,160
GET,/resources/33,93,0,91,85.24731182795699,29,161,0.0,23.055301536500874,0.0,91,110,120,140,150,150,160,160,160,160,160
POST,/resources/33,83,0,73,83.48192771084338,29,160,0.0,20.576236855156694,0.0,73,100,110,140,150,150,160,160,160,160,160
GET,/resources/34,88,0,94,90.10227272727273,30,161,0.0,21.815769195828782,0.0,96,110,120,140,150,150,160,160,160,160,160
POST,/resources/34,100,0,99,89.48,17,157,0.0,24.7906468134418,0.0,99,110,120,120,150,150,160,160,160,160,160
GET,/resources/35,113,0,95,86.30973451327434,30,163,0.0,28.01343089918923,0.0,95,110,110,120,150,150,160,160,160,160,160
POST,/resources/35,92,0,100,95.54347826086956,29,160,0.0,22.807395068366453,0.0,100,120,140,140,150,150,160,160,160,160,160
GET,/resources/36,107,0,73,82.35514018691589,24,159,0.0,26.525992090382726,0.0,73,110,110,120,150,150,150,160,160,160,160
POST,/resources/36,113,0,100,93.60176991150442,29,160,0.0,28.01343089918923,0.0,100,110,140,140,150,150,160,160,160,160,160
GET,/resources/37,99,0,93,90.04040404040404,12,158,0.0,24.54274034530738,0.0,93,110,130,140,150,150,160,160,160,160,160
POST,/resources/37,96,0,98,89.34375,30,155,0.0,23.799020940904125,0.0,98,110,130,140,150,150,150,160,160,160,160
GET,/resources/38,117,0,99,92.03418803418803,13,162,0.0,29.005056771726903,0.0,99,110,140,140,150,160,160,160,160,160,160
POST,/resources/38,119,0,100,89.08403361344538,15,159,0.0,29.50086970799574,0.0,100,110,120,140,150,150,160,160,160,160,160
GET,/resources/39,104,0,72,87.27884615384616,19,158,0.0,25.78227268597947,0.0,72,110,130,140,150,150,150,160,160,160,160
POST,/resources/39,97,0,98,91.5979381443299,30,160,0.0,24.046927409038545,0.0,98,110,130,140,150,150,160,160,160,160,160
GET,/resources/4,103,0,75,82.93203883495146,17,160,0.0,25.53436621784505,0.0,75,110,110,120,150,150,150,160,160,160,160
POST,/resources/4,119,0,100,91.45378151260505,12,160,0.0,29.50086970799574,0.0,100,110,120,140,150,160,160,160,160,160,160
GET,/resources/40,97,0,110,101.26804123711341,27,162,0.0,24.046927409038545,0.0,110,130,140,140,150,160,160,160,160,160,160
POST,/resources/40,106,0,92,89.71698113207547,18,158,0.0,26.278085622248305,0.0,94,110,140,140,150,150,160,160,160,160,160
GET,/resources/41,111,0,93,91.48648648648648,31,162,0.0,27.517617962920397,0.0,93,110,130,140,150,160,160,160,160,160,160
POST,/resources/41,88,0,100,97.27272727272727,29,160,0.0,21.815769195828782,0.0,100,110,140,140,150,150,160,160,160,160,160
GET,/resources/42,109,0,80,87.70642201834862,29,161,0.0,27.02180502665156,0.0,80,110,120,140,150,150,160,160,160,160,160
POST,/resources/42,105,0,94,87.32380952380953,12,162,0.0,26.03017915411389,0.0,94,110,110,120,150,150,160,160,160,160,160
GET,/resources/43,102,0,71,83.33333333333333,31,157,0.0,25.286459749710634,0.0,73,100,110,120,140,150,160,160,160,160,160
POST,/resources/43,106,0,99,91.06603773584905,29,161,0.0,26.278085622248305,0.0,99,110,140,140,150,160,160,160,160,160,160
GET,/resources/44,112,0,93,85.21428571428571,13,158,0.0,27.765524431054814,0.0,94,110,110,120,150,150,160,160,160,160,160
POST,/resources/44,108,0,74,84.39814814814815,17,160,0.0,26.773898558517143,0.0,74,110,110,140,150,160,160,160,160,160,160
GET,/resources/45,100,0,100,93.29,17,161,0.0,24.7906468134418,0.0,100,110,140,150,150,150,160,160,160,160,160
POST,/resources/45,92,0,100,91.76086956521739,30,161,0.0,22.807395068366453,0.0,100,110,120,140,150,150,160,160,160,160,160
GET,/resources/46,106,0,94,91.01886792452831,29,161,0.0,26.278085622248305,0.0,99,110,140,140,150,150,160,160,160,160,160
POST,/resources/46,111,0,79,86.12612612612612,29,162,0.0,27.517617962920397,0.0,79,110,120,140,150,150,160,160,160,160,160
GET,/resources/47,103,0,110,98.58252427184466,30,161,0.0,25.53436621784505,0.0,110,120,140,150,150,160,160,160,160,160,160
POST,/resources/47,105,0,100,95.26666666666667,28,162,0.0,26.03017915411389,0.0,100,120,130,140,150,160,160,160,160,160,160
GET,/resources/48,103,0,99,94.66019417475728,27,162,0.0,25.53436621784505,0.0,99,110,140,140,150,160,160,160,160,160,160
POST,/resources/48,109,0,100,92.35779816513761,16,155,0.0,27.02180502665156,0.0,100,110,120,130,150,150,150,150,160,160,160
GET,/resources/49,109,0,73,86.58715596330275,27,159,0.0,27.02180502665156,0.0,73,110,110,130,150,150,160,160,160,160,160
POST,/resources/49,92,0,100,92.41304347826087,16,158,0.0,22.807395068366453,0.0,100,110,130,140,150,150,160,160,160,160,160
GET,/resources/5,107,0,77,86.24299065420561,12,162,0.0,26.525992090382726,0.0,77,110,110,140,150,150,160,160,160,160,160
POST,/resources/5,95,0,100,90.49473684210527,29,150,0.0,23.551114472769708,0.0,100,110,130,140,150,150,150,150,150,150,150
GET,/resources/6,104,0,76,87.65384615384616,24,162,0.0,25.78227268597947,0.0,77,110,110,140,150,150,160,160,160,160,160
POST,/resources/6,113,0,100,88.47787610619469,27,162,0.0,28.01343089918923,0.0,100,110,120,140,150,150,160,160,160,160,160
GET,/resources/7,119,0,92,88.88235294117646,16,160,0.0,29.50086970799574,0.0,92,110,130,140,150,160,160,160,160,160,160
POST,/resources/7,98,0,76,86.33673469387755,9,161,0.0,24.294833877172962,0.0,78,110,120,140,150,150,160,160,160,160,160
GET,/resources/8,104,0,100,91.6923076923077,23,162,0.0,25.78227268597947,0.0,100,110,140,140,150,160,160,160,160,160,160
POST,/resources/8,118,0,100,92.44067796610169,30,161,0.0,29.252963239861323,0.0,100,110,130,130,140,150,160,160,160,160,160
GET,/resources/9,108,0,95,91.42592592592592,12,161,0.0,26.773898558517143,0.0,96,110,140,140,150,150,160,160,160,160,160
POST,/resources/9,110,0,73,82.16363636363636,24,163,0.0,27.269711494785977,0.0,74,100,110,130,150,150,150,160,160,160,160
,Aggregated,10455,0,97,89.49402199904353,9,165,0.0,2591.86212434534,0.0,97,110,120,140,150,150,160,160,160,160,160
